Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Specie
df1bd08e9e6d6039adcc77a92530bb07	K__Bacteria	P__Proteobacteria	C__Alphaproteobacteria	O__Rhizobiales	F__Xanthobacteraceae	G__Bradyrhizobium	S__NA
a28600ad9198943957cef0b364813c08	K__Bacteria	P__Bacteroidetes	C__Bacteroidia	O__Flavobacteriales	F__Flavobacteriaceae	G__NA	S__NA
b5f9c1c8169856b8f3f27b0dabd65751	K__Bacteria	P__Firmicutes	C__Bacilli	O__Bacillales	F__Bacillaceae	G__Bacillus	S__NA
87123d21e63bde5fa7d7130e49932e23	K__Bacteria	P__Proteobacteria	C__Alphaproteobacteria	O__Rhizobiales	F__Xanthobacteraceae	G__uncultured	S__NA
22575e9dd54d869ea866fb26a1b86dc8	K__Bacteria	P__Proteobacteria	C__Gammaproteobacteria	O__Oceanospirillales	F__NA	G__NA	S__NA
530c993b0bc50c2d71bff0aa81093bf1	K__Bacteria	P__Proteobacteria	C__Alphaproteobacteria	O__Rhizobiales	F__Xanthobacteraceae	G__Rhodoplanes	S__NA
f2527cf344cf9767739c0383469f3719	K__Bacteria	P__Actinobacteria	C__Thermoleophilia	O__Gaiellales	F__NA	G__NA	S__NA
0bbd8ba29c2eaba9a0ff46584f34f048	K__Bacteria	P__Proteobacteria	C__Alphaproteobacteria	O__Rhizobiales	F__Xanthobacteraceae	G__Rhodoplanes	S__NA
0b4c23fe0b3e5c67479114880d0cac23	K__Bacteria	P__Firmicutes	C__Bacilli	O__Bacillales	F__Bacillaceae	G__NA	S__NA
ead45122a5675cc97e239e80c794ed00	K__Bacteria	P__Firmicutes	C__Bacilli	O__Bacillales	F__Bacillaceae	G__Bacillus	S__NA
bde6a2326cae7c0edcee4638835645ca	K__Bacteria	P__Actinobacteria	C__Actinobacteria	O__Streptomycetales	F__Streptomycetaceae	G__Streptomyces	S__NA
2877b79e340a3345d1f8964076c4ef54	K__Bacteria	P__Bacteroidetes	C__Bacteroidia	O__Chitinophagales	F__Chitinophagaceae	G__Niastella	S__NA
1976c93579b38d9bb77e01353681270d	K__Bacteria	P__Actinobacteria	C__Thermoleophilia	O__Gaiellales	F__NA	G__NA	S__NA
e9e8326a5e9a7a99de601e05f3b4ec48	K__Bacteria	P__Proteobacteria	C__Alphaproteobacteria	O__Rhizobiales	F__Xanthobacteraceae	G__uncultured	S__NA
06988fc03c9afbf2283cfd410e3c3e70	K__Bacteria	P__Proteobacteria	C__Alphaproteobacteria	O__Rhizobiales	F__Xanthobacteraceae	G__Bradyrhizobium	S__NA
42bc0eff4afc9005f01842d60ad0c759	K__Bacteria	P__Proteobacteria	C__Gammaproteobacteria	O__NA	F__NA	G__Cellvibrio	S__NA
606f1828032895f346aea26bff3ea7fe	K__Bacteria	P__Actinobacteria	C__Thermoleophilia	O__Solirubrobacterales	F__67-14	G__NA	S__NA
6ebeb9b404fb6c6b8dcac38a27921904	K__Bacteria	P__Proteobacteria	C__Alphaproteobacteria	O__Rhizobiales	F__Xanthobacteraceae	G__uncultured	S__NA
83fd6add62905314dffd66d096710aa7	K__Bacteria	P__Proteobacteria	C__Gammaproteobacteria	O__NA	F__NA	G__Cellvibrio	S__NA
545b30e93f05b8540ff5d1eb2c30146e	K__Bacteria	P__Bacteroidetes	C__Bacteroidia	O__Flavobacteriales	F__Flavobacteriaceae	G__NA	S__NA
cd05f01bf526fe36d8718b183b024065	K__Bacteria	P__Actinobacteria	C__Thermoleophilia	O__Solirubrobacterales	F__67-14	G__NA	S__NA
