Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Specie
43b6a1159a607517ff2874f84504a17f	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__unidentified
2e6c1539d95fdfaca94780b391f1ecf7	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__unidentified
e0fabf3a280f1a0b557dcbf0212529ed	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__Aspergillus_xerophilus
0cbe5f7e8081ed7ef2608b05a134a26e	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__Aspergillus_xerophilus
a41d01f993265755665911f4a15a7ab3	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Heydenia	s__Heydenia_alpina
9eacce5b800eae573721c6e96d5106e9	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__unidentified
33bffa31546ec0e46567085e7654276f	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__unidentified
390a7e65d47f5b135dd7b03662494387	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Heydenia	s__Heydenia_alpina
4d2253f24814c2d26ca91018e7a87e91	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Solicoccozyma	s__Solicoccozyma_terrea
be8fc5e7fb5e60d5bc5d9f941704f92d	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Solicoccozyma	s__Solicoccozyma_terrea
ffc526bf84fea72f1acc7a4163a95cf2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__NA
0e06ea0a654d835e255047cf36e5b032	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	s__NA
bb0093262f8c9ba3eaa0344cfba462af	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	s__NA
50fa976f604f2b61ac9aff76632ff461	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Plectosphaerella	s__unidentified
d8a2b9705bedf5e0252878631155b0cb	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
bc33760da768ece5454329a4c7d3dc10	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Heydenia	s__Heydenia_alpina
9a908c73b7fd6f9a6e98c05b4132cc85	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
136260250c7091415dd667b35a161d37	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__NA
904196fce15a21e425a159477328349f	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Plectosphaerella	s__unidentified
8e15ff53886333c77141263f42d79cae	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
d7a1afc1119f3bd508a40bfa152d1941	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
906421d95e124b5048ddcb2a0604ce68	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Solicoccozyma	s__Solicoccozyma_terrea
8f565922d8f7c9b5d9e82050c7223cea	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Solicoccozyma	s__Solicoccozyma_terrea
849cda89b09b64f81fa35ccf8129fee1	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__NA
402d79ce14ba339e27372a6e240488b6	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_humilis
6780e394c69aafd19c71136bfa600327	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_humilis
f4b247b1d5de05aee89a24af1c2bcf85	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Ilyonectria	s__Ilyonectria_liriodendri
502815ab868237cc906cbd54a4d158a6	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Humicola	s__Humicola_nigrescens
5640397f43f5e515f088a2342078dee8	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__NA
59e72ef4b9d740e4bd47251ed138f42b	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Trichophaeopsis	s__unidentified
39a3f36fd02ca1b384fb0d8ed1f2251d	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
98817652fbfbdb051eccb8c2f177ef64	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
b7caa48335576b084a301d9e35a0c1bc	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Trichophaeopsis	s__unidentified
2f2f53043a4e84676240811dd5ab085d	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
ca464b188b402e1d41a822a8aedcfa4c	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__NA	f__NA	g__NA	s__NA
f0fd92f65b5007bc8bb319460e2a933b	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__NA	f__NA	g__NA	s__NA
304cb21a2aa5c92ddd8dbde87c454d43	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
f8f7abc994c9582e7c37708694271011	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__NA
89dd2ca72ea97acc60db18d4c1ab4410	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
4cfd2aacd7dec16407d1fd772e2eaaaa	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Plectosphaerella	s__unidentified
17ab6aaaeb9c947bd653e0b583654b1d	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
fd324624ceed20388b21a816b9f01238	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_amoeboidea
e1bfecff15d33929258a5dee40ec943f	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_indohii
961a1d92e0533f18c6a6bf93d89394a2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__NA	s__NA
ff24185b50637fd6d73af3efec6f3b2c	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_amoeboidea
